year,pref,pop,male,child,adult,born,income
2017,Tochigi,1957000,49.8,12.5,60.1,0.717,557286
2017,Gunma,1960000,49.4,12.3,58.7,0.678,432604
2017,Saitama,7310000,49.9,12.3,61.7,0.726,624099
2017,Chiba,6246000,49.7,12.1,60.8,0.705,566978
2017,Tokyo,13724000,49.3,11.2,65.7,0.794,593036
2017,Kanagawa,9159000,49.9,12.3,62.9,0.744,558407
2017,Niigata,2267000,48.4,11.7,57,0.66,528227
2017,Toyama,1056000,48.4,11.8,56.6,0.68,590884
2017,Ishikawa,1147000,48.5,12.6,58.5,0.758,651218
2017,Fukui,779000,48.5,12.9,57.3,0.752,586534
2017,Yamanashi,823000,49,12,58.2,0.693,541690
2017,Nagano,2076000,48.8,12.5,56.3,0.699,461708
2017,Gifu,2008000,48.5,12.9,57.8,0.699,545961
2017,Shizuoka,3675000,49.3,12.6,58.3,0.715,542386
2017,Aichi,7525000,50,13.4,62,0.83,563020
2017,Mie,1800000,48.7,12.6,58.4,0.704,535735
2017,Shiga,1413000,49.3,14.1,60.6,0.821,577561
2017,Kyoto,2599000,47.8,11.9,59.6,0.713,432391
2017,Osaka,8823000,48.1,12.1,60.7,0.755,461993
2017,Hyogo,5503000,47.7,12.6,59.1,0.756,375847
2017,Nara,1348000,47.1,12.1,57.6,0.665,554807
2017,Wakayama,945000,47,11.8,55.9,0.684,487512
2017,Tottori,565000,47.8,12.7,56.3,0.763,478282
2017,Shimane,685000,48.2,12.4,54.1,0.746,558290
2017,Okayama,1907000,48,12.8,57.5,0.782,529877
2017,Hiroshima,2829000,48.5,13,58.4,0.783,516084
2017,Yamaguchi,1383000,47.4,11.9,54.7,0.684,615996
2017,Tokushima,743000,47.6,11.4,56.2,0.697,546015
2017,Kagawa,967000,48.5,12.4,56.5,0.764,548171
2017,Ehime,1364000,47.3,12.1,55.9,0.702,530206
2017,Kochi,714000,47.1,11.3,54.5,0.677,558069
2017,Fukuoka,5107000,47.3,13.2,59.7,0.851,610308
2017,Saga,824000,47.2,13.7,57.1,0.818,584304
2017,Nagasaki,1354000,47,12.8,55.9,0.78,514628
2017,Kumamoto,1765000,47.2,13.4,56.5,0.83,506088
2017,Oita,1152000,47.4,12.4,55.8,0.752,560498
2017,Miyazaki,1089000,47,13.4,55.5,0.808,472440
2017,Kagoshima,1626000,46.9,13.4,55.8,0.812,536432
2017,Okinawa,1443000,49.1,17.1,61.9,1.124,417147
2016,Hokkaido,5352000,47.1,11.2,58.9,0.656,529946
2016,Aomori,1293000,47,11.2,57.8,0.667,442927
2016,Iwate,1268000,48.1,11.6,57.2,0.658,522935
2016,Miyagi,2330000,48.9,12.2,61.3,0.745,419919
2016,Akita,1010000,46.9,10.3,55,0.561,459033
2016,Yamagata,1113000,48.2,11.9,56.5,0.678,572158
2016,Fukushima,1901000,49.5,11.9,58.7,0.723,632372
2016,Ibaraki,2905000,49.9,12.4,60,0.719,556044
2016,Tochigi,1966000,49.8,12.7,60.6,0.744,555789
2016,Gunma,1967000,49.4,12.5,59.1,0.695,439646
2016,Saitama,7289000,49.9,12.4,62.1,0.747,633227
2016,Chiba,6236000,49.7,12.2,61.2,0.728,560292
2016,Tokyo,13624000,49.3,11.3,65.8,0.822,613169
2016,Kanagawa,9145000,49.9,12.4,63.2,0.773,586015
2016,Niigata,2286000,48.4,11.8,57.5,0.688,514003
2016,Toyama,1061000,48.4,12,56.9,0.688,597295
2016,Ishikawa,1151000,48.4,12.8,58.8,0.776,600948
2016,Fukui,782000,48.6,13.1,57.6,0.782,561423
2016,Yamanashi,830000,48.9,12.2,58.7,0.701,563436
2016,Nagano,2088000,48.7,12.7,56.6,0.726,531608
2016,Gifu,2022000,48.4,13,58.2,0.733,502156
2016,Shizuoka,3688000,49.2,12.8,58.7,0.75,531289
2016,Aichi,7507000,50,13.6,62.2,0.856,507307
2016,Mie,1808000,48.7,12.8,58.7,0.73,560499
2016,Shiga,1413000,49.3,14.3,60.9,0.854,597556
2016,Kyoto,2605000,47.8,12,59.9,0.742,544151
